"type","date","bottom","top","lower","upper","median","mean","std","prob_control","mean_window","sd_window","confidence","date_onset","state","date_of_analysis"
"nowcast",2020-02-11,0.00855431960952698,4.707219742924,0.269445184492235,1.90378897061904,1.74088329313867,2.24539448723031,1.89448813909194,0.278595890410959,3.05650684931507,2.11872933592885,0.999999963494383,2020-02-16,"SA","2020-04-26"
"nowcast",2020-02-12,0.0180335214557865,4.60055699829378,0.291104685379661,1.9608531209763,1.75825413990925,2.21157453343704,1.83535277694539,0.280499219968799,3.04368174726989,2.10237920008409,0.999999941786857,2020-02-17,"SA","2020-04-26"
"nowcast",2020-02-13,0.0135660187161285,4.54181523820626,0.165101387931047,1.78462221293993,1.68311064705319,2.15902800508741,1.81616973475598,0.297262247838617,3.05331412103746,2.1044313889277,0.999999896377391,2020-02-18,"SA","2020-04-26"
"nowcast",2020-02-14,0.0400009188142085,4.36515705004098,0.0984855310497016,1.62015849151208,1.58600138123818,2.07977880693062,1.79432095159374,0.308847184986595,3.02815013404826,2.09584297569512,0.999999836877837,2020-02-19,"SA","2020-04-26"
"nowcast",2020-02-15,0.0197264044180005,4.19666894629942,0.119427637717118,1.5711397399311,1.51527840589443,1.98441631397109,1.76396430894198,0.335521235521236,3.04504504504505,2.10712690928818,0.999999726500522,2020-02-20,"SA","2020-04-26"
"nowcast",2020-02-16,0.0131765938665499,3.96060234739829,0.184443215846031,1.54840404884832,1.42765226450889,1.87622362873771,1.64586693968948,0.356601466992665,3.03911980440098,2.11155686937203,0.999999573875755,2020-02-21,"SA","2020-04-26"
"nowcast",2020-02-17,0.0170379401954521,3.81030268522332,0.178031794526001,1.43158069964465,1.32403208503756,1.78124301031262,1.56883199939633,0.384947491248541,3.01633605600933,2.11076499266511,0.999999303074383,2020-02-22,"SA","2020-04-26"
"nowcast",2020-02-18,0.00811131891237297,3.56636684630852,0.162630826109728,1.37518216883581,1.25608672689412,1.67556042396408,1.48039868805477,0.406802721088435,3.02380952380952,2.11649068669133,0.999998880005416,2020-02-23,"SA","2020-04-26"
"nowcast",2020-02-19,0.00656332973608524,3.23804091306583,0.11426602008951,1.21772681576922,1.1442831501518,1.53509274139266,1.39763774701444,0.446440306681271,3.02190580503833,2.11757634322671,0.999998173345857,2020-02-24,"SA","2020-04-26"
"nowcast",2020-02-20,0.0136508903563487,2.98304421480375,0.191061223264708,1.18341643201614,1.04458869176646,1.40137379017655,1.26346080711149,0.480906148867314,3.0302049622438,2.12744100844762,0.999997183940358,2020-02-25,"SA","2020-04-26"
